Year,State,CO2e emissions (tonnes per capita)
1990,NSW,29.90245392
1991,NSW,27.27319342
1992,NSW,24.85576587
1993,NSW,23.19789474
1994,NSW,22.90543407
1995,NSW,21.37242996
1996,NSW,21.30754028
1997,NSW,22.00154455
1998,NSW,20.99938586
1999,NSW,21.08282619
2000,NSW,22.68838279
2001,NSW,23.18190607
2002,NSW,22.74469085
2003,NSW,22.49950964
2004,NSW,23.31003661
2005,NSW,24.00721617
2006,NSW,24.08375276
2007,NSW,24.34667699
2008,NSW,23.73149082
2009,NSW,22.33426722
2010,NSW,20.78851709
2011,NSW,20.88433186
2012,NSW,20.55523
2013,NSW,19.0952626
2014,NSW,18.74327727
2015,NSW,17.68878253
2016,NSW,17.13453221
2017,NSW,16.70928609
1990,VIC,24.67636436
1991,VIC,24.54214856
1992,VIC,23.27193961
1993,VIC,23.15025456
1994,VIC,22.46852391
1995,VIC,22.41615745
1996,VIC,22.15854359
1997,VIC,22.58250347
1998,VIC,23.3528555
1999,VIC,23.69422462
2000,VIC,23.94344373
2001,VIC,24.50589884
2002,VIC,22.88320704
2003,VIC,24.36618663
2004,VIC,25.38019116
2005,VIC,24.63695557
2006,VIC,25.23369835
2007,VIC,24.95620619
2008,VIC,23.83946828
2009,VIC,24.87435139
2010,VIC,24.29237677
2011,VIC,24.27188087
2012,VIC,22.50049338
2013,VIC,19.87226706
2014,VIC,19.34438186
2015,VIC,19.28060015
2016,VIC,18.03386354
2017,VIC,17.44794226
1990,QLD,63.02459369
1991,QLD,59.55581625
1992,QLD,49.78709204
1993,QLD,46.15829408
1994,QLD,42.92647239
1995,QLD,40.72078483
1996,QLD,40.59270132
1997,QLD,39.90070326
1998,QLD,40.04320694
1999,QLD,43.35879884
2000,QLD,42.90594946
2001,QLD,46.99459648
2002,QLD,47.25917371
2003,QLD,44.03358691
2004,QLD,43.48309816
2005,QLD,47.70410982
2006,QLD,45.2216286
2007,QLD,45.0946948
2008,QLD,43.13075188
2009,QLD,40.0652375
2010,QLD,38.8976762
2011,QLD,35.67414152
2012,QLD,35.76816099
2013,QLD,34.3523278
2014,QLD,32.98669833
2015,QLD,33.08322758
2016,QLD,32.64874315
2017,QLD,32.77810578
1990,SA,25.16940869
1991,SA,20.6825682
1992,SA,19.47474968
1993,SA,20.07443568
1994,SA,18.69589854
1995,SA,17.32512146
1996,SA,17.51361162
1997,SA,18.05107486
1998,SA,17.87877707
1999,SA,18.43829985
2000,SA,17.64193748
2001,SA,19.12042193
2002,SA,19.79599898
2003,SA,20.55520632
2004,SA,20.26672301
2005,SA,22.76713871
2006,SA,22.13097908
2007,SA,23.48515692
2008,SA,21.19074968
2009,SA,19.03130477
2010,SA,16.07568882
2011,SA,14.60450126
2012,SA,15.73557384
2013,SA,15.70992144
2014,SA,17.08915603
2015,SA,16.30692444
2016,SA,14.04385737
2017,SA,12.81183598
1990,WA,43.80632296
1991,WA,43.15775421
1992,WA,36.8314759
1993,WA,35.06931518
1994,WA,36.42237505
1995,WA,34.71133635
1996,WA,35.25528058
1997,WA,37.08237668
1998,WA,33.15397651
1999,WA,31.52945898
2000,WA,31.20607116
2001,WA,32.14777066
2002,WA,32.83361999
2003,WA,35.25417617
2004,WA,34.02801016
2005,WA,35.66656372
2006,WA,34.68989271
2007,WA,36.14812022
2008,WA,34.35145424
2009,WA,35.27915724
2010,WA,33.57497026
2011,WA,30.64081116
2012,WA,30.50584046
2013,WA,31.36338811
2014,WA,30.89587641
2015,WA,31.57593815
2016,WA,33.65486474
2017,WA,34.38648893
1990,TAS,40.27052347
1991,TAS,45.56319944
1992,TAS,34.8308869
1993,TAS,36.00417717
1994,TAS,33.59483265
1995,TAS,34.36834704
1996,TAS,35.04718015
1997,TAS,30.65517098
1998,TAS,40.51752401
1999,TAS,33.28558999
2000,TAS,39.21416461
2001,TAS,42.7032992
2002,TAS,38.45603888
2003,TAS,47.32659432
2004,TAS,41.65999583
2005,TAS,37.18339016
2006,TAS,34.97511057
2007,TAS,28.54809109
2008,TAS,32.91257395
2009,TAS,30.92684433
2010,TAS,25.70678296
2011,TAS,22.00027588
2012,TAS,7.160946154
2013,TAS,2.084805253
2014,TAS,1.576636283
2015,TAS,0.334387059
2016,TAS,-0.640007715
2017,TAS,1.662252836
1990,NT,78.84147663
1991,NT,84.81957822
1992,NT,74.53266279
1993,NT,69.74488304
1994,NT,74.80148339
1995,NT,87.30863685
1996,NT,86.78479282
1997,NT,83.54430907
1998,NT,93.14588994
1999,NT,95.23273965
2000,NT,105.8942677
2001,NT,83.17050898
2002,NT,79.76300968
2003,NT,76.20612664
2004,NT,72.91707965
2005,NT,64.08560555
2006,NT,73.77406302
2007,NT,80.21711908
2008,NT,75.21122742
2009,NT,82.60111224
2010,NT,64.96841151
2011,NT,56.91774739
2012,NT,50.76567369
2013,NT,58.60923466
2014,NT,52.42655523
2015,NT,49.80347236
2016,NT,61.21172071
2017,NT,66.90967526
1990,ACT,3.617728684
1991,ACT,3.39632073
1992,ACT,3.142732895
1993,ACT,3.279970469
1994,ACT,3.80634683
1995,ACT,3.633213841
1996,ACT,6.042207842
1997,ACT,4.664676236
1998,ACT,4.100316773
1999,ACT,3.687808391
2000,ACT,4.194944967
2001,ACT,3.612271684
2002,ACT,3.865472502
2003,ACT,3.857030402
2004,ACT,4.582873274
2005,ACT,4.151019635
2006,ACT,4.219748648
2007,ACT,3.992840974
2008,ACT,3.767398782
2009,ACT,3.520779848
2010,ACT,3.978056882
2011,ACT,3.729826785
2012,ACT,3.719104559
2013,ACT,3.541718288
2014,ACT,3.606000307
2015,ACT,3.679888303
2016,ACT,3.382856512
2017,ACT,3.176262773
